k,inertia,silhouette
3,961245.9430184047,0.17374554444152826
4,904738.2357205744,0.17061669353536482
5,863820.7066819058,0.1707027997124055
6,828339.6063135657,0.15107143284935165
7,792732.1545226756,0.16651809421445196
8,768409.2678813216,0.17475095301816526
