model,mean_norm,std_norm,p01_norm,median_norm,p99_norm,pca10_cumulative_variance,mean_nearest_neighbor_cosine_sample
GRU,8.443968286044237,0.37403260279729095,7.544257418721166,8.433605806850055,9.181527460253799,0.6052563832872059,0.8889627246156142
LSTM,6.953710144511701,0.47908949678186175,5.822430822433192,7.039218689931492,7.7385881309232465,0.577883013561822,0.8888963183278101
