model,mean_norm,std_norm,p01_norm,median_norm,p99_norm
GRU,8.443968286044237,0.37403260279729095,7.544257418721166,8.433605806850055,9.181527460253799
LSTM,6.953710144511701,0.47908949678186175,5.822430822433192,7.039218689931492,7.7385881309232465
