order_sensitivity_bucket,num_users,mean_cosine,mean_relative_l2,median_sequence_len,mean_prefix_len,mean_unique_events,mean_repeat_ratio,mean_sessions,mean_active_days,retention_7d_rate,retention_14d_rate
low,13125,0.9528997534613655,0.3032454594146354,306.0,120.94422857142857,9.425295238095238,0.9012684851569196,2.7705904761904763,1.3525333333333334,0.2556072788827761,0.14959944270289097
medium,26246,0.8861225843275762,0.4740717329799464,80.0,88.10664482206812,8.489827021260382,0.833246985291877,2.192981787700983,1.2342071172750133,0.276764738785099,0.18151769728687508
high,13124,0.7899037230958733,0.6396839395883486,22.0,51.68637610484608,7.085339835416032,0.7038937376995502,1.6971959768363303,1.124428527887839,0.3684001587931719,0.26633393829401086
