split,users,retention_1d_positive_rate,retention_7d_positive_rate,retention_14d_positive_rate,retention_30d_positive_rate
test,10260,0.2518518518518518,0.1108187134502924,0.059844054580896686,0.00341130604288499
val,10259,0.2505117457841895,0.1127790232966176,0.056438249342041134,0.003314163173798616
train,47875,0.24969190600522193,0.10704960835509138,0.05629242819843342,0.003070496083550914
