cluster,num_users,median_sequence_len,mean_sequence_len,mean_unique_events,mean_repeat_ratio,mean_prefix_active_days,retention_7d_rate,retention_14d_rate,pooling
2,16592,247.0,1328.11656219865,9.631268081002894,0.9003245463893014,1.1983486017357763,0.20300120048019207,0.10621089577292843,mean
4,14248,17.0,38.00603593486805,6.4241297024143735,0.6270060142557579,1.1001544076361596,0.33783783783783783,0.2413793103448276,mean
3,11489,96.0,813.8349725824702,8.642005396466185,0.8661130794942533,1.2531116720341196,0.20686070686070687,0.1072961373390558,mean
0,9822,445.5,1861.8990022398698,8.818265119120342,0.8957715951300296,1.4788230502952555,0.4377675337504116,0.31493145609484996,mean
1,344,374.0,2372.6279069767443,6.642441860465116,0.9175648684305742,1.2267441860465116,0.19457013574660634,0.17159763313609466,mean
