pooling,embedding_dim,mean_norm,std_norm,pca10_cumulative_variance,kmeans_inertia,kmeans_silhouette,cluster_retention_7d_min,cluster_retention_7d_max,cluster_median_seq_min,cluster_median_seq_max
last,128,8.4856140487693,0.36057304250435174,0.5848226966566767,4613958.68429829,0.15542962987376555,0.21812596006144394,0.4365555785551646,31.0,515.0
last_mean,256,10.573669345327575,0.44539642900993087,0.60261364048067,9700837.682219267,0.11050826210054238,0.1821561338289963,0.4382436735377912,22.0,492.0
max,128,9.656615635279243,0.5775261407154045,0.6430530481289185,4482557.903944047,0.20632157906116214,0.1534090909090909,0.4317966529838964,17.0,576.0
mean,128,6.296202666253739,0.4722686010389973,0.7607534230512054,4282234.583323497,0.14639052199976083,0.19457013574660634,0.4377675337504116,17.0,445.5
