experiment_id,model_type,hidden_dim,num_layers,dropout,source,loss,mrr,hit@5,hit@10,roc_auc_retention_7d_embedding,roc_auc_retention_7d_baseline_plus_embedding,roc_auc_retention_14d_embedding,roc_auc_retention_14d_baseline_plus_embedding,pr_auc_retention_7d_embedding,pr_auc_retention_7d_baseline_plus_embedding,pr_auc_retention_14d_embedding,pr_auc_retention_14d_baseline_plus_embedding
gru_h64_l1,gru,64,1,0.0,train,0.6407924644215244,0.8840174914684076,0.97016095942422,0.991141652010258,0.6853788198845234,0.687963968857505,0.6908413205537807,0.6947090145962538,0.48411301587856526,0.47757325444826426,0.35118563296995725,0.356712706483053
gru_h128_l1_ref,gru,128,1,0.0,reference,0.6120574092283568,0.888496788448156,0.9732830413368964,0.9925607797202632,0.6814413714366185,0.677406476954956,0.6912121781619995,0.6950172273382197,0.475860680665819,0.4760007148981674,0.357899445887962,0.360310177315729
gru_h256_l1,gru,256,1,0.0,train,0.5928717939996219,0.8917041296353817,0.9750532174495949,0.9934944169718196,0.6808786991771782,0.6884964642806848,0.7043638413831985,0.7100231786005137,0.48249358366488415,0.4945734914759417,0.35896215744341664,0.36621052428459705
gru_h128_l2_d02,gru,128,2,0.2,train,0.6005296041968423,0.8903984711373828,0.9741868024579876,0.9931583076647578,0.6763396000563301,0.6824535528195224,0.6947390841320553,0.6890872642986907,0.4841370863379216,0.4930737512143635,0.37230246943706846,0.3626047771337809
gru_h256_l2_d02,gru,256,2,0.2,train,0.5856075373909341,0.892522287494764,0.9760466068276334,0.9937782430740514,0.6840724143480799,0.6812640825235883,0.6904829919188122,0.6943381569880348,0.4910895508150511,0.4823854962921795,0.3657833764758469,0.3544683267366686
lstm_h128_l1_ref,lstm,128,1,0.0,reference,0.6118466518081703,0.8886104377273146,0.9732307583475396,0.9926578779762292,0.6885272698010341,0.6908640885589554,0.6971985215811565,0.6980204222263986,0.47947217494468086,0.48768916802235585,0.3602818821620364,0.361030674681617
