experiment_id,model_type,hidden_dim,num_layers,dropout,split,loss,mrr,hit@1,hit@5,hit@10,recall@1,recall@5,recall@10
gru_h64_l1,gru,64,1,0.0,val,0.6675919062067838,0.8783636124431764,0.803297486160266,0.9690628199019172,0.9909582546983339,0.803297486160266,0.9690628199019172,0.9909582546983339
gru_h64_l1,gru,64,1,0.0,test,0.6407924644215244,0.8840174914684076,0.8128169693120383,0.97016095942422,0.991141652010258,0.8128169693120383,0.97016095942422,0.991141652010258
gru_h128_l1_ref,gru,128,1,0.0,val,0.6368636568049921,0.8831636661890919,0.8098909100368409,0.9722394394867923,0.9923528684919389,0.8098909100368409,0.9722394394867923,0.9923528684919389
gru_h128_l1_ref,gru,128,1,0.0,test,0.6120574092283568,0.888496788448156,0.8185681741477243,0.9732830413368964,0.9925607797202632,0.8185681741477243,0.9732830413368964,0.9925607797202632
gru_h256_l1,gru,256,1,0.0,val,0.6170877915539711,0.8863005618966759,0.8141909689205301,0.9742461337174866,0.9929726965963022,0.8141909689205301,0.9742461337174866,0.9929726965963022
gru_h256_l1,gru,256,1,0.0,test,0.5928717939996219,0.8917041296353817,0.8230869770459627,0.9750532174495949,0.9934944169718196,0.8230869770459627,0.9750532174495949,0.9934944169718196
gru_h128_l2_d02,gru,128,2,0.2,val,0.6256378097618709,0.8851647697730632,0.812571667365435,0.9733318869638373,0.9930811663635546,0.812571667365435,0.9733318869638373,0.9930811663635546
gru_h128_l2_d02,gru,128,2,0.2,test,0.6005296041968423,0.8903984711373828,0.8214736524335914,0.9741868024579876,0.9931583076647578,0.8214736524335914,0.9741868024579876,0.9931583076647578
gru_h256_l2_d02,gru,256,2,0.2,val,0.6078883895580831,0.887403257027932,0.8153376517476275,0.9752611030458529,0.9937552294448292,0.8153376517476275,0.9752611030458529,0.9937552294448292
gru_h256_l2_d02,gru,256,2,0.2,test,0.5856075373909341,0.892522287494764,0.824177466228793,0.9760466068276334,0.9937782430740514,0.824177466228793,0.9760466068276334,0.9937782430740514
lstm_h128_l1_ref,lstm,128,1,0.0,val,0.6378986977513428,0.8827839391562635,0.8092400906020724,0.9721697090903602,0.9922211543836211,0.8092400906020724,0.9721697090903602,0.9922211543836211
lstm_h128_l1_ref,lstm,128,1,0.0,test,0.6118466518081703,0.8886104377273146,0.8189266903541903,0.9732307583475396,0.9926578779762292,0.8189266903541903,0.9732307583475396,0.9926578779762292
