label,mode,split,loss,roc_auc,pr_auc,num_users,pos_weight
retention_14d,finetuned,test,0.6356946563027084,0.6975330451669485,0.3618693028769494,2303,4.542408376963351
retention_14d,frozen_head,test,0.6660877973216541,0.692937417778613,0.3449938239376384,2303,4.542408376963351
retention_14d,finetuned,val,0.6310863101965811,0.7175526079708188,0.3822610601403596,2318,4.542408376963351
retention_14d,frozen_head,val,0.6563548725468008,0.7127955862736169,0.3692968590663278,2318,4.542408376963351
retention_7d,finetuned,test,0.6197770042215439,0.6882402755145149,0.48606824756788136,2805,2.605731775180857
retention_7d,frozen_head,test,0.6512220543973586,0.6868750880157725,0.4861623931050589,2805,2.605731775180857
retention_7d,finetuned,val,0.6247839332269415,0.6744395578110512,0.4802231164994714,2783,2.605731775180857
retention_7d,frozen_head,val,0.6534844359775862,0.6632378035548716,0.48049952395529827,2783,2.605731775180857
