model,split,loss,mrr,hit@5,hit@10
GRU,test,0.6120574092283568,0.888496788448156,0.9732830413368964,0.9925607797202632
LSTM,test,0.6118466518081703,0.8886104377273146,0.9732307583475396,0.9926578779762292
Markov1,test,,0.815800738946796,0.9407625950366213,0.9774657361398877
MostPopular,test,,0.45101582465091855,0.7153975426556394,0.8780819353763663
GRU,val,0.6368636568049921,0.8831636661890919,0.9722394394867923,0.9923528684919389
LSTM,val,0.6378986977513428,0.8827839391562635,0.9721697090903602,0.9922211543836211
Markov1,val,,0.8068904135229937,0.9377227508959323,0.9761288622016965
MostPopular,val,,0.4691990671764985,0.7370610836862495,0.8954349649821791
