label,feature_group,candidate,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,num_users,num_features
retention_14d,baseline,Baseline,0.6787653949758817,0.0027050193393537156,0.34118129619671056,0.00430505841299691,2303,15
retention_14d,baseline_plus_embedding,GRU h256 l1 max,0.705074484745975,0.0032158505684709232,0.3644062560570122,0.0037278603873911074,2303,271
retention_14d,baseline_plus_embedding,LSTM h128 l1 max,0.6990518073043914,0.0017091433198206936,0.367123209859202,0.005230967140635724,2303,143
retention_14d,baseline_plus_embedding,GRU h128 l1 max,0.6974914489757564,0.005024116351981299,0.3599240044659142,0.004077666637865083,2303,143
retention_14d,embedding,GRU h256 l1 max,0.7042856605901147,0.0011920936510614666,0.3675605092647217,0.006857271417818121,2303,256
retention_14d,embedding,LSTM h128 l1 max,0.6975815322934286,0.004946122382154491,0.35905298414273823,0.004391527209889132,2303,128
retention_14d,embedding,GRU h128 l1 max,0.6965520265614232,0.004842561779836541,0.35928167865975125,0.004870951671933886,2303,128
retention_7d,baseline,Baseline,0.6609481561953044,0.0022199482365666532,0.4551245386009305,0.004180769087190057,2805,15
retention_7d,baseline_plus_embedding,GRU h256 l1 max,0.6921702426217635,0.005191683817535417,0.4977500661393119,0.0022962497539026055,2805,271
retention_7d,baseline_plus_embedding,LSTM h128 l1 max,0.6883210614199207,0.005846365231224434,0.4904143722511992,0.01071643155265274,2805,143
retention_7d,baseline_plus_embedding,GRU h256 l2 max,0.6795440028567405,0.0019215524769833716,0.4785096126455432,0.006684115282230443,2805,271
retention_7d,embedding,LSTM h128 l1 max,0.6917361991268836,0.003335015987080452,0.48825910826440844,0.006296426937301632,2805,128
retention_7d,embedding,GRU h256 l1 max,0.686336305751705,0.0034713252383679165,0.49049347241298796,0.005062428682824274,2805,256
retention_7d,embedding,GRU h256 l2 max,0.683185969782928,0.003828294443363859,0.4827508571301822,0.005773859974896999,2805,256
