feature_set,label,split,roc_auc,pr_auc,num_users,seed,candidate,feature_group,num_features
Baseline + GRU h256 l1 max,retention_7d,val,0.665325822138052,0.4778374318267271,2783,42,GRU h256 l1 max,baseline_plus_embedding,271
Baseline + GRU h256 l1 max,retention_7d,test,0.6884964642806848,0.4945734914759417,2805,42,GRU h256 l1 max,baseline_plus_embedding,271
GRU h256 l1 max,retention_14d,val,0.7098944817314325,0.3669786655364563,2318,42,GRU h256 l1 max,embedding,256
GRU h256 l1 max,retention_14d,test,0.7043638413831985,0.35896215744341664,2303,42,GRU h256 l1 max,embedding,256
Baseline + GRU h256 l1 max,retention_14d,val,0.6975342462372637,0.3662968762880574,2318,42,GRU h256 l1 max,baseline_plus_embedding,271
Baseline + GRU h256 l1 max,retention_14d,test,0.7100231786005137,0.36621052428459705,2303,42,GRU h256 l1 max,baseline_plus_embedding,271
GRU h256 l2 max,retention_7d,val,0.6635041230198655,0.4712220386832713,2783,42,GRU h256 l2 max,embedding,256
GRU h256 l2 max,retention_7d,test,0.6840724143480799,0.4910895508150511,2805,42,GRU h256 l2 max,embedding,256
Baseline + GRU h256 l2 max,retention_7d,val,0.6668701051468703,0.4798435893335676,2783,42,GRU h256 l2 max,baseline_plus_embedding,271
Baseline + GRU h256 l2 max,retention_7d,test,0.6812640825235883,0.4823854962921795,2805,42,GRU h256 l2 max,baseline_plus_embedding,271
GRU h256 l2 max,retention_14d,val,0.7055045713065831,0.36727771950031346,2318,42,GRU h256 l2 max,embedding,256
GRU h256 l2 max,retention_14d,test,0.6904829919188122,0.3657833764758469,2303,42,GRU h256 l2 max,embedding,256
Baseline + GRU h256 l2 max,retention_14d,val,0.7069458686716494,0.3778287307131904,2318,42,GRU h256 l2 max,baseline_plus_embedding,271
Baseline + GRU h256 l2 max,retention_14d,test,0.6943381569880348,0.3544683267366686,2303,42,GRU h256 l2 max,baseline_plus_embedding,271
LSTM h128 l1 max,retention_7d,val,0.6686406364048845,0.46981769540359714,2783,42,LSTM h128 l1 max,embedding,128
LSTM h128 l1 max,retention_7d,test,0.6885272698010341,0.47947217494468086,2805,42,LSTM h128 l1 max,embedding,128
Baseline + LSTM h128 l1 max,retention_7d,val,0.6654632972322503,0.4649304045542414,2783,42,LSTM h128 l1 max,baseline_plus_embedding,143
Baseline + LSTM h128 l1 max,retention_7d,test,0.6908640885589554,0.48768916802235585,2805,42,LSTM h128 l1 max,baseline_plus_embedding,143
LSTM h128 l1 max,retention_14d,val,0.7054040013277705,0.3745500365236371,2318,42,LSTM h128 l1 max,embedding,128
LSTM h128 l1 max,retention_14d,test,0.6971985215811565,0.3602818821620364,2303,42,LSTM h128 l1 max,embedding,128
Baseline + LSTM h128 l1 max,retention_14d,val,0.7126407208461205,0.3692997362910273,2318,42,LSTM h128 l1 max,baseline_plus_embedding,143
Baseline + LSTM h128 l1 max,retention_14d,test,0.6980204222263986,0.361030674681617,2303,42,LSTM h128 l1 max,baseline_plus_embedding,143
Baseline,retention_7d,val,0.6535008063561578,0.46875483099722615,2783,77,Baseline,baseline,15
Baseline,retention_7d,test,0.6605476844307643,0.4521269307114083,2805,77,Baseline,baseline,15
Baseline,retention_14d,val,0.6982376190952156,0.33988498353810614,2318,77,Baseline,baseline,15
Baseline,retention_14d,test,0.6773852032825909,0.34036648353128673,2303,77,Baseline,baseline,15
GRU h128 l1 max,retention_7d,val,0.6676487196938312,0.4660090682606346,2783,77,GRU h128 l1 max,embedding,128
GRU h128 l1 max,retention_7d,test,0.6830489166515783,0.47532579118898166,2805,77,GRU h128 l1 max,embedding,128
Baseline + GRU h128 l1 max,retention_7d,val,0.6641705381625929,0.469374132024616,2783,77,GRU h128 l1 max,baseline_plus_embedding,143
Baseline + GRU h128 l1 max,retention_7d,test,0.6806957521073491,0.4848545624134875,2805,77,GRU h128 l1 max,baseline_plus_embedding,143
GRU h128 l1 max,retention_14d,val,0.6896478323159108,0.3532505869985062,2318,77,GRU h128 l1 max,embedding,128
GRU h128 l1 max,retention_14d,test,0.6933395978199586,0.3539172926965364,2303,77,GRU h128 l1 max,embedding,128
Baseline + GRU h128 l1 max,retention_14d,val,0.6981290281978476,0.3589976710073287,2318,77,GRU h128 l1 max,baseline_plus_embedding,143
Baseline + GRU h128 l1 max,retention_14d,test,0.6936139823341477,0.35923208515585403,2303,77,GRU h128 l1 max,baseline_plus_embedding,143
GRU h256 l1 max,retention_7d,val,0.6660575841865419,0.4782541328116765,2783,77,GRU h256 l1 max,embedding,256
GRU h256 l1 max,retention_7d,test,0.6895583117066008,0.49455207442660126,2805,77,GRU h256 l1 max,embedding,256
Baseline + GRU h256 l1 max,retention_7d,val,0.6632495166794894,0.48086742814065697,2783,77,GRU h256 l1 max,baseline_plus_embedding,271
Baseline + GRU h256 l1 max,retention_7d,test,0.6876401965517935,0.49642990047718005,2805,77,GRU h256 l1 max,baseline_plus_embedding,271
GRU h256 l1 max,retention_14d,val,0.7012152308605458,0.36572053418395384,2318,77,GRU h256 l1 max,embedding,256
GRU h256 l1 max,retention_14d,test,0.7058410073294494,0.3725738526135134,2303,77,GRU h256 l1 max,embedding,256
Baseline + GRU h256 l1 max,retention_14d,val,0.7023393934457989,0.36413437812218175,2318,77,GRU h256 l1 max,baseline_plus_embedding,271
Baseline + GRU h256 l1 max,retention_14d,test,0.7059625383699806,0.36798906398049774,2303,77,GRU h256 l1 max,baseline_plus_embedding,271
GRU h256 l2 max,retention_7d,val,0.6615011787102247,0.4694021155178859,2783,77,GRU h256 l2 max,embedding,256
GRU h256 l2 max,retention_7d,test,0.6876452260245036,0.48450602041257246,2805,77,GRU h256 l2 max,embedding,256
Baseline + GRU h256 l2 max,retention_7d,val,0.6602484908563651,0.47329420358836793,2783,77,GRU h256 l2 max,baseline_plus_embedding,271
Baseline + GRU h256 l2 max,retention_7d,test,0.6795238849659002,0.47359099951376543,2805,77,GRU h256 l2 max,baseline_plus_embedding,271
GRU h256 l2 max,retention_14d,val,0.6990137972139031,0.361353974255029,2318,77,GRU h256 l2 max,embedding,256
GRU h256 l2 max,retention_14d,test,0.6970143456743719,0.3713869845145518,2303,77,GRU h256 l2 max,embedding,256
Baseline + GRU h256 l2 max,retention_14d,val,0.6984782466518835,0.3510201944886459,2318,77,GRU h256 l2 max,baseline_plus_embedding,271
Baseline + GRU h256 l2 max,retention_14d,test,0.6921794148969492,0.3607426612388766,2303,77,GRU h256 l2 max,baseline_plus_embedding,271
LSTM h128 l1 max,retention_7d,val,0.663625261387623,0.47107043018237293,2783,77,LSTM h128 l1 max,embedding,128
LSTM h128 l1 max,retention_7d,test,0.6961312038545879,0.4897938413370988,2805,77,LSTM h128 l1 max,embedding,128
Baseline + LSTM h128 l1 max,retention_7d,val,0.6656802982778008,0.4725558161300617,2783,77,LSTM h128 l1 max,baseline_plus_embedding,143
Baseline + LSTM h128 l1 max,retention_7d,test,0.6816991319130101,0.48418866925749665,2805,77,LSTM h128 l1 max,baseline_plus_embedding,143
LSTM h128 l1 max,retention_14d,val,0.7010461745771434,0.37384578741210994,2318,77,LSTM h128 l1 max,embedding,128
LSTM h128 l1 max,retention_14d,test,0.6942216375368038,0.3536935563081256,2303,77,LSTM h128 l1 max,embedding,128
Baseline + LSTM h128 l1 max,retention_14d,val,0.706099353267167,0.38043264327711657,2318,77,LSTM h128 l1 max,baseline_plus_embedding,143
Baseline + LSTM h128 l1 max,retention_14d,test,0.6966535112447536,0.3620243506003875,2303,77,LSTM h128 l1 max,baseline_plus_embedding,143
