label,candidate,feature_group,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,num_users,num_features
retention_14d,GRU h256 l1 max,baseline_plus_embedding,0.705074484745975,0.0032158505684709232,0.3644062560570122,0.0037278603873911074,2303,271
retention_14d,LSTM h128 l1 max,baseline_plus_embedding,0.6990518073043914,0.0017091433198206936,0.367123209859202,0.005230967140635724,2303,143
retention_14d,GRU h128 l1 max,baseline_plus_embedding,0.6974914489757564,0.005024116351981299,0.3599240044659142,0.004077666637865083,2303,143
retention_14d,GRU h256 l2 max,baseline_plus_embedding,0.6956950447910794,0.0032398054631552426,0.3613301941995169,0.004291883090662242,2303,271
retention_14d,Baseline,baseline,0.6787653949758817,0.0027050193393537156,0.34118129619671056,0.00430505841299691,2303,15
retention_7d,GRU h256 l1 max,baseline_plus_embedding,0.6921702426217635,0.005191683817535417,0.4977500661393119,0.0022962497539026055,2805,271
retention_7d,LSTM h128 l1 max,baseline_plus_embedding,0.6883210614199207,0.005846365231224434,0.4904143722511992,0.01071643155265274,2805,143
retention_7d,GRU h256 l2 max,baseline_plus_embedding,0.6795440028567405,0.0019215524769833716,0.4785096126455432,0.006684115282230443,2805,271
retention_7d,GRU h128 l1 max,baseline_plus_embedding,0.6776414790673346,0.003196865836349404,0.4824512790995031,0.004145133362658918,2805,143
retention_7d,Baseline,baseline,0.6609481561953044,0.0022199482365666532,0.4551245386009305,0.004180769087190057,2805,15
